version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Mon Nov 13 05:15:10 2017	2	1	12::3	3544.43		0	1	1	0	0	0	0	0	baseline	-20	1	3780	5603	
22261	Mon Nov 13 05:15:25 2017	2	2	24::3	3544.43		1	0	0	1	0	0	0	0	baseline	-24	2	4452	5659	
22261	Mon Nov 13 05:15:38 2017	2	3	9::3	3544.43		0	1	1	0	0	0	0	0	baseline	-13	1	4088	5639	
22261	Mon Nov 13 05:15:51 2017	2	4	18::3	3544.43		1	0	0	1	0	0	0	0	baseline	-13	2	5444	6490	
22261	Mon Nov 13 05:16:05 2017	2	5	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-10	2	5089	6968	
22261	Mon Nov 13 05:16:19 2017	2	6	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-22	1	4391	6198	
22261	Mon Nov 13 05:16:34 2017	2	7	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-25	2	3353	4464	
22261	Mon Nov 13 05:16:49 2017	2	8	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-31	1	4607	6110	
22261	Mon Nov 13 05:17:02 2017	2	9	12::3	3544.43		1	0	0	1	0	0	0	0	baseline	-24	2	4437	6380	
22261	Mon Nov 13 05:17:15 2017	2	10	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-29	1	3193	4360	
22261	Mon Nov 13 05:17:44 2017	4	1	21::3	3544.43		1	0	0	1	0	0	0	1	acq	-10		12287	
22261	Mon Nov 13 05:17:58 2017	4	2	905::5	3544.43		1	0	0	1	0	0	0	1	acq	-8	2	1611	4610	
22261	Mon Nov 13 05:18:12 2017	4	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-36	1	3524	4707	
22261	Mon Nov 13 05:18:25 2017	4	4	15::3	3544.43		1	0	0	1	0	0	0	1	acq	-7	2	3592	4727	
22261	Mon Nov 13 05:18:39 2017	4	5	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-37	1	3533	4508	
22261	Mon Nov 13 05:18:51 2017	4	6	15::3	3544.43		1	0	0	1	0	0	0	1	acq	-11	2	4865	5840	
22261	Mon Nov 13 05:19:04 2017	4	7	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-31	1	3393	4552	
22261	Mon Nov 13 05:19:17 2017	4	8	9::3	3544.43		0	1	1	0	0	1	0	0	acq	-20	1	4896	6871	
