id,Csplus_location,day,block,block_type,trial,rating,trial_type
01SH,feet,1,5,test,117,-2,CSminus_UStest
01SH,feet,1,5,test,118,-10,UStest_only
01SH,feet,1,5,test,119,-30,CSminus_UStest
01SH,feet,1,5,test,120,-10,CSplus_UStest
01SH,feet,1,5,test,121,-30,CSminus_USlow
01SH,feet,1,5,test,122,-30,CSminus_only
01SH,feet,1,5,test,123,-10,UStest_only
01SH,feet,1,5,test,124,-1,CSminus_UStest
01SH,feet,1,5,test,125,-1,CSminus_USlow
01SH,feet,1,5,test,126,1,CSplus_UShigh
01SH,feet,1,5,test,127,-10,CSminus_USlow
01SH,feet,1,5,test,128,2,CSplus_UStest
01SH,feet,1,5,test,129,1,CSplus_UShigh
01SH,feet,1,5,test,130,2,CSplus_UStest
01SH,feet,1,5,test,131,-1,UStest_only
01SH,feet,1,5,test,132,2,CSplus_UShigh
01SH,feet,1,5,test,133,1,CSplus_UShigh
01SH,feet,1,5,test,134,-10,CSplus_only
01SH,feet,1,5,test,135,-2,CSminus_USlow
01SH,feet,1,5,test,136,-30,CSplus_only
01SH,feet,1,5,test,137,-10,CSminus_USlow
01SH,feet,1,5,test,138,-25,CSminus_USlow
01SH,feet,1,5,test,139,-40,CSminus_only
01SH,feet,1,5,test,140,-10,CSplus_UStest
01SH,feet,1,5,test,141,-10,CSplus_UShigh
01SH,feet,1,5,test,142,1,CSminus_USlow
01SH,feet,1,5,test,143,2,CSplus_UShigh
01SH,feet,1,5,test,144,1,CSplus_UShigh
01SH,feet,1,5,test,145,-30,CSminus_USlow
01SH,feet,1,5,test,146,-10,CSminus_UStest
01SH,feet,1,5,test,147,-1,CSminus_USlow
01SH,feet,1,5,test,148,-40,CSminus_only
01SH,feet,1,5,test,149,-1,UStest_only
01SH,feet,1,5,test,150,-40,CSplus_only
01SH,feet,1,5,test,151,-10,CSplus_UShigh
01SH,feet,1,5,test,152,1,CSplus_UStest
01SH,feet,1,5,test,153,-10,CSminus_USlow
01SH,feet,1,5,test,154,1,CSplus_UShigh
01SH,feet,2,1,acquisition,1,-10,CSminus_USlow
01SH,feet,2,1,acquisition,2,2,CSplus_UShigh
01SH,feet,2,1,acquisition,3,1,CSplus_UShigh
01SH,feet,2,1,acquisition,4,2,CSplus_UShigh
01SH,feet,2,1,acquisition,5,-10,CSminus_USlow
01SH,feet,2,1,acquisition,6,-5,CSminus_USlow
01SH,feet,2,1,acquisition,7,2,CSplus_UShigh
01SH,feet,2,1,acquisition,8,-30,CSminus_USlow
01SH,feet,2,1,acquisition,9,1,CSplus_UShigh
01SH,feet,2,1,acquisition,10,-20,CSminus_USlow
01SH,feet,2,1,acquisition,11,-10,CSminus_USlow
01SH,feet,2,1,acquisition,12,1,CSplus_UShigh
01SH,feet,2,1,acquisition,13,2,CSplus_UShigh
01SH,feet,2,1,acquisition,14,3,CSplus_UShigh
01SH,feet,2,1,acquisition,15,-20,CSminus_USlow
01SH,feet,2,1,acquisition,16,-30,CSminus_USlow
01SH,feet,2,1,acquisition,17,-40,CSminus_USlow
01SH,feet,2,1,acquisition,18,2,CSplus_UShigh
01SH,feet,2,1,acquisition,19,-10,CSminus_USlow
01SH,feet,2,1,acquisition,20,1,CSplus_UShigh
01SH,feet,2,1,acquisition,21,-30,CSminus_USlow
01SH,feet,2,1,acquisition,22,1,CSplus_UShigh
01SH,feet,2,1,acquisition,23,2,CSplus_UShigh
01SH,feet,2,1,acquisition,24,-10,CSminus_USlow
01SH,feet,2,2,test,25,-40,CSminus_UStest
01SH,feet,2,2,test,26,-2,CSplus_UShigh
01SH,feet,2,2,test,27,-30,CSminus_UStest
01SH,feet,2,2,test,28,-50,UStest_only
01SH,feet,2,2,test,29,-40,CSminus_UStest
01SH,feet,2,2,test,30,-40,CSplus_UStest
01SH,feet,2,2,test,31,-40,CSminus_USlow
01SH,feet,2,2,test,32,-40,CSminus_only
01SH,feet,2,2,test,33,-25,UStest_only
01SH,feet,2,2,test,34,-30,CSminus_UStest
01SH,feet,2,2,test,35,-10,CSminus_USlow
01SH,feet,2,2,test,36,1,CSplus_UShigh
01SH,feet,2,2,test,37,-10,CSminus_USlow
01SH,feet,2,2,test,38,-30,CSplus_UStest
01SH,feet,2,2,test,39,-2,CSplus_UShigh
01SH,feet,2,2,test,40,-10,CSplus_UStest
01SH,feet,2,2,test,41,-10,UStest_only
01SH,feet,2,2,test,42,2,CSplus_UShigh
01SH,feet,2,2,test,43,3,CSplus_UShigh
01SH,feet,2,2,test,44,-40,CSplus_only
01SH,feet,2,2,test,45,-30,CSminus_USlow
01SH,feet,2,2,test,46,-40,CSplus_only
01SH,feet,2,2,test,47,-20,CSminus_USlow
01SH,feet,2,2,test,48,-10,CSminus_USlow
01SH,feet,2,2,test,49,-40,CSminus_only
01SH,feet,2,2,test,50,-20,CSplus_UStest
01SH,feet,2,2,test,51,3,CSplus_UShigh
01SH,feet,2,2,test,52,-30,CSminus_USlow
01SH,feet,2,2,test,53,2,CSplus_UShigh
01SH,feet,2,2,test,54,1,CSplus_UShigh
01SH,feet,2,2,test,55,-10,CSminus_USlow
01SH,feet,2,2,test,56,-3,CSminus_UStest
01SH,feet,2,2,test,57,-10,CSminus_USlow
01SH,feet,2,2,test,58,-40,CSminus_only
01SH,feet,2,2,test,59,-10,UStest_only
01SH,feet,2,2,test,60,-40,CSplus_only
01SH,feet,2,2,test,61,3,CSplus_UShigh
01SH,feet,2,2,test,62,-5,CSplus_UStest
01SH,feet,2,2,test,63,-20,CSminus_USlow
01SH,feet,2,2,test,64,1,CSplus_UShigh
01SH,feet,2,3,test,65,-40,CSminus_only
01SH,feet,2,3,test,66,-30,CSminus_USlow
01SH,feet,2,3,test,67,3,CSplus_UShigh
01SH,feet,2,3,test,68,-10,CSminus_USlow
01SH,feet,2,3,test,69,-40,CSplus_only
01SH,feet,2,3,test,70,1,CSplus_UShigh
01SH,feet,2,3,test,71,1,CSplus_UShigh
01SH,feet,2,3,test,72,-30,UStest_only
01SH,feet,2,3,test,73,-40,CSplus_UStest
01SH,feet,2,3,test,74,-20,CSminus_USlow
01SH,feet,2,3,test,75,-40,CSplus_only
01SH,feet,2,3,test,76,-10,CSplus_UStest
01SH,feet,2,3,test,77,-20,CSminus_UStest
01SH,feet,2,3,test,78,-10,CSplus_UShigh
01SH,feet,2,3,test,79,-40,CSminus_only
01SH,feet,2,3,test,80,-10,CSminus_UStest
01SH,feet,2,3,test,81,-5,CSminus_USlow
01SH,feet,2,3,test,82,-5,CSminus_USlow
01SH,feet,2,3,test,83,-10,CSplus_UStest
01SH,feet,2,3,test,84,2,CSplus_UShigh
01SH,feet,2,3,test,85,1,CSplus_UShigh
01SH,feet,2,3,test,86,-40,CSminus_UStest
01SH,feet,2,3,test,87,-10,CSplus_UStest
01SH,feet,2,3,test,88,-5,CSminus_USlow
01SH,feet,2,3,test,89,-10,CSminus_USlow
01SH,feet,2,3,test,90,-30,UStest_only
01SH,feet,2,3,test,91,-25,CSminus_UStest
01SH,feet,2,3,test,92,2,CSplus_UShigh
01SH,feet,2,3,test,93,-30,UStest_only
01SH,feet,2,3,test,94,-40,CSplus_only
01SH,feet,2,3,test,95,-40,CSminus_only
01SH,feet,2,3,test,96,-40,CSminus_USlow
01SH,feet,2,3,test,97,2,CSplus_UShigh
01SH,feet,2,3,test,98,-10,CSminus_USlow
01SH,feet,2,3,test,99,2,CSplus_UShigh
01SH,feet,2,3,test,100,1,CSminus_UStest
01SH,feet,2,3,test,101,-30,UStest_only
01SH,feet,2,3,test,102,-25,CSplus_UStest
01SH,feet,2,3,test,103,-40,CSminus_USlow
01SH,feet,2,3,test,104,-10,CSplus_UShigh
01SH,feet,2,4,test,105,-40,CSplus_only
01SH,feet,2,4,test,106,-10,UStest_only
01SH,feet,2,4,test,107,-30,CSminus_USlow
01SH,feet,2,4,test,108,-40,CSminus_only
01SH,feet,2,4,test,109,-40,CSminus_USlow
01SH,feet,2,4,test,110,-30,CSminus_USlow
01SH,feet,2,4,test,111,-40,CSplus_only
01SH,feet,2,4,test,112,2,CSplus_UShigh
01SH,feet,2,4,test,113,-40,CSminus_only
01SH,feet,2,4,test,114,-40,UStest_only
01SH,feet,2,4,test,115,-40,CSminus_USlow
01SH,feet,2,4,test,116,2,CSplus_UShigh
01SH,feet,2,4,test,117,-30,CSplus_UStest
01SH,feet,2,4,test,118,2,CSplus_UShigh
01SH,feet,2,4,test,119,-40,UStest_only
01SH,feet,2,4,test,120,-40,CSminus_USlow
01SH,feet,2,4,test,121,-40,CSminus_UStest
01SH,feet,2,4,test,122,-40,CSplus_only
01SH,feet,2,4,test,123,-10,CSplus_UStest
01SH,feet,2,4,test,124,2,CSplus_UShigh
01SH,feet,2,4,test,125,2,CSplus_UShigh
01SH,feet,2,4,test,126,-10,UStest_only
01SH,feet,2,4,test,127,-10,CSminus_UStest
01SH,feet,2,4,test,128,-5,CSplus_UStest
01SH,feet,2,4,test,129,-25,CSminus_USlow
01SH,feet,2,4,test,130,1,CSplus_UShigh
01SH,feet,2,4,test,131,-10,CSminus_USlow
01SH,feet,2,4,test,132,-40,CSminus_USlow
01SH,feet,2,4,test,133,-10,CSplus_UStest
01SH,feet,2,4,test,134,-30,CSminus_UStest
01SH,feet,2,4,test,135,2,CSplus_UShigh
01SH,feet,2,4,test,136,-10,CSplus_UShigh
01SH,feet,2,4,test,137,-40,CSminus_USlow
01SH,feet,2,4,test,138,2,CSplus_UShigh
01SH,feet,2,4,test,139,-40,CSminus_USlow
01SH,feet,2,4,test,140,-30,CSplus_UStest
01SH,feet,2,4,test,141,-25,CSminus_UStest
01SH,feet,2,4,test,142,-10,CSplus_UShigh
01SH,feet,2,4,test,143,-40,CSminus_only
01SH,feet,2,4,test,144,-30,CSminus_UStest
02BM,head,1,1,baseline,1,-35,CSminus_only
02BM,head,1,1,baseline,2,-40,CSminus_only
02BM,head,1,1,baseline,3,-40,CSplus_only
02BM,head,1,1,baseline,4,-30,CSminus_only
02BM,head,1,1,baseline,5,-25,CSplus_only
02BM,head,1,1,baseline,6,-30,CSminus_only
02BM,head,1,1,baseline,7,-25,CSminus_only
02BM,head,1,1,baseline,8,-35,CSplus_only
02BM,head,1,1,baseline,9,-40,CSplus_only
02BM,head,1,1,baseline,10,-35,CSplus_only
02BM,head,1,2,acquisition,11,-15,CSminus_USlow
02BM,head,1,2,acquisition,12,15,CSplus_UShigh
02BM,head,1,2,acquisition,13,25,CSplus_UShigh
02BM,head,1,2,acquisition,14,-5,CSminus_USlow
02BM,head,1,2,acquisition,15,-10,CSminus_USlow
02BM,head,1,2,acquisition,16,20,CSplus_UShigh
02BM,head,1,2,acquisition,17,-5,CSminus_USlow
02BM,head,1,2,acquisition,18,-10,CSminus_USlow
02BM,head,1,2,acquisition,19,-2,CSminus_USlow
02BM,head,1,2,acquisition,20,25,CSplus_UShigh
02BM,head,1,2,acquisition,21,30,CSplus_UShigh
02BM,head,1,2,acquisition,22,30,CSplus_UShigh
02BM,head,1,2,acquisition,23,-10,CSminus_USlow
02BM,head,1,2,acquisition,24,30,CSplus_UShigh
02BM,head,1,2,acquisition,25,35,CSplus_UShigh
02BM,head,1,2,acquisition,26,-15,CSminus_USlow
02BM,head,1,2,acquisition,27,30,CSplus_UShigh
02BM,head,1,2,acquisition,28,35,CSplus_UShigh
02BM,head,1,2,acquisition,29,-10,CSminus_USlow
02BM,head,1,2,acquisition,30,20,CSplus_UShigh
02BM,head,1,2,acquisition,31,-5,CSminus_USlow
02BM,head,1,2,acquisition,32,-5,CSminus_USlow
02BM,head,1,2,acquisition,33,25,CSplus_UShigh
02BM,head,1,2,acquisition,34,5,CSminus_USlow
02BM,head,1,3,test,35,-40,CSplus_only
02BM,head,1,3,test,36,15,CSplus_UShigh
02BM,head,1,3,test,37,5,CSminus_USlow
02BM,head,1,3,test,38,15,CSplus_UShigh
02BM,head,1,3,test,39,-40,CSminus_only
02BM,head,1,3,test,40,5,CSminus_USlow
02BM,head,1,3,test,41,5,CSminus_USlow
02BM,head,1,3,test,42,5,UStest_only
02BM,head,1,3,test,43,-5,CSminus_UStest
02BM,head,1,3,test,44,25,CSplus_UShigh
02BM,head,1,3,test,45,-10,CSminus_only
02BM,head,1,3,test,46,5,CSminus_UStest
02BM,head,1,3,test,47,10,CSplus_UStest
02BM,head,1,3,test,48,10,CSminus_USlow
02BM,head,1,3,test,49,-25,CSplus_only
02BM,head,1,3,test,50,10,CSplus_UStest
02BM,head,1,3,test,51,30,CSplus_UShigh
02BM,head,1,3,test,52,30,CSplus_UShigh
02BM,head,1,3,test,53,-20,CSminus_UStest
02BM,head,1,3,test,54,-2,CSminus_USlow
02BM,head,1,3,test,55,-5,CSminus_USlow
02BM,head,1,3,test,56,5,CSplus_UStest
02BM,head,1,3,test,57,5,CSminus_UStest
02BM,head,1,3,test,58,25,CSplus_UShigh
02BM,head,1,3,test,59,35,CSplus_UShigh
02BM,head,1,3,test,60,5,UStest_only
02BM,head,1,3,test,61,15,CSplus_UStest
02BM,head,1,3,test,62,10,CSminus_USlow
02BM,head,1,3,test,63,5,UStest_only
02BM,head,1,3,test,64,-40,CSminus_only
02BM,head,1,3,test,65,-20,CSplus_only
02BM,head,1,3,test,66,20,CSplus_UShigh
02BM,head,1,3,test,67,5,CSminus_USlow
02BM,head,1,3,test,68,25,CSplus_UShigh
02BM,head,1,3,test,69,10,CSminus_USlow
02BM,head,1,3,test,70,10,CSplus_UStest
02BM,head,1,3,test,71,5,UStest_only
02BM,head,1,3,test,72,10,CSminus_UStest
02BM,head,1,3,test,73,30,CSplus_UShigh
02BM,head,1,3,test,74,5,CSminus_USlow
02BM,head,1,4,test,75,-5,CSplus_UStest
