version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Fri Oct 27 01:32:57 2017	2	1	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-47	1	3631	5350	
22261	Fri Oct 27 01:33:10 2017	2	2	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-45	1	2237	3316	
22261	Fri Oct 27 01:33:22 2017	2	3	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-37	2	2434	3753	
22261	Fri Oct 27 01:33:36 2017	2	4	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-42	2	2494	3389	
22261	Fri Oct 27 01:33:48 2017	2	5	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-41	1	2294	3333	
22261	Fri Oct 27 01:34:03 2017	2	6	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-40	2	2690	3481	
22261	Fri Oct 27 01:34:16 2017	2	7	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-40	2	2551	3702	
22261	Fri Oct 27 01:34:29 2017	2	8	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-46	1	2242	3249	
22261	Fri Oct 27 01:34:44 2017	2	9	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-43	2	2526	3453	
22261	Fri Oct 27 01:34:57 2017	2	10	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-41	1	2891	3898	
22261	Fri Oct 27 01:35:27 2017	4	1	6::3	3544.43		1	0	1	0	0	0	0	1	acq	-12	1	4472	6223	
22261	Fri Oct 27 01:35:42 2017	4	2	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-41	2	2719	4038	
22261	Fri Oct 27 01:35:54 2017	4	3	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-39	2	2193	3192	
22261	Fri Oct 27 01:36:07 2017	4	4	6::3	3544.43		1	0	1	0	0	0	0	1	acq	-18	1	2093	3140	
22261	Fri Oct 27 01:36:20 2017	4	5	6::3	3544.43		1	0	1	0	0	0	0	1	acq	-22	1	2288	3319	
22261	Fri Oct 27 01:36:34 2017	4	6	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-39	2	2338	3265	
22261	Fri Oct 27 01:36:47 2017	4	7	6::3	3544.43		1	0	1	0	0	0	0	1	acq	-24	1	2190	3109	
22261	Fri Oct 27 01:37:01 2017	4	8	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-44	2	1945	2728	
22261	Fri Oct 27 01:39:51 2017	7	1	6::3	3544.43		1	0	1	0	0	0	0	1	acq	0	1	4064	5919	
22261	Fri Oct 27 01:40:06 2017	7	2	6::3	3544.43		1	0	1	0	0	0	0	1	acq	1	1	3085	4499	
22261	Fri Oct 27 01:40:20 2017	7	3	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-39	2	2547	3386	
22261	Fri Oct 27 01:40:33 2017	7	4	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-39	2	2220	3091	
22261	Fri Oct 27 01:40:46 2017	7	5	6::3	3544.43		1	0	1	0	0	0	0	1	acq	1	1	2313	3320	
22261	Fri Oct 27 01:40:59 2017	7	6	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-42	2	1861	2732	
22261	Fri Oct 27 01:41:12 2017	7	7	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-41	2	2162	3089	
22261	Fri Oct 27 01:41:26 2017	7	8	6::3	3544.43		1	0	1	0	0	0	0	1	acq	5	1	2084	3291	
22261	Fri Oct 27 01:43:19 2017	10	1	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-38	2	2799	4318	
22261	Fri Oct 27 01:43:31 2017	10	2	6::3	3544.43		1	0	1	0	0	0	0	1	acq	5	1	2171	3146	
22261	Fri Oct 27 01:43:44 2017	10	3	6::3	3544.43		1	0	1	0	0	0	0	1	acq	9	1	2004	2963	
22261	Fri Oct 27 01:43:59 2017	10	4	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-39	2	2384	3159	
22261	Fri Oct 27 01:44:13 2017	10	5	6::3	3544.43		1	0	1	0	0	0	0	1	acq	9	1	2672	3583	
22261	Fri Oct 27 01:44:26 2017	10	6	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-40	2	2355	3322	
22261	Fri Oct 27 01:44:39 2017	10	7	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-38	2	2392	3183	
22261	Fri Oct 27 01:44:52 2017	10	8	6::3	3544.43		1	0	1	0	0	0	0	1	acq	13	1	2534	3477	
22261	Fri Oct 27 01:46:22 2017	13	1	6::3	3544.43		0	1	0	1	0	0	0	0	test	-43	2	2328	3151	
22261	Fri Oct 27 01:46:35 2017	13	2	6::3	3544.43		1	0	1	0	0	0	1	0	test	9	1	2409	3359	
22261	Fri Oct 27 01:46:48 2017	13	3	6::3	3544.43		1	0	1	0	0	0	0	1	test	11	1	2146	3273	
22261	Fri Oct 27 01:47:03 2017	13	4	6::3	3544.43		0	1	0	1	0	0	1	0	test	2	1	3269	4172	
22261	Fri Oct 27 01:47:15 2017	13	5	6::3	3544.43		1	0	1	0	0	0	1	0	test	9	1	2058	2849	
22261	Fri Oct 27 01:47:29 2017	13	6	6::3	3544.43		1	0	1	0	0	0	0	0	test	-44	1	2167	3110	
22261	Fri Oct 27 01:47:43 2017	13	7	6::3	3544.43		0	1	0	1	0	1	0	0	test	-31	2	2199	2918	
22261	Fri Oct 27 01:47:56 2017	13	8	6::3	3544.43		0	1	0	1	0	1	0	0	test	-37	2	2342	3229	
22261	Fri Oct 27 01:48:09 2017	13	9	6::3	3544.43		1	0	1	0	0	0	0	1	test	9	1	2208	3191	
22261	Fri Oct 27 01:48:22 2017	13	10	6::3	3544.43		0	1	0	1	0	1	0	0	test	-41	2	2182	3213	
22261	Fri Oct 27 01:48:35 2017	13	11	6::3	3544.43		1	0	1	0	0	0	0	0	test	-40	1	2519	3622	
22261	Fri Oct 27 01:48:47 2017	13	12	6::3	3544.43		0	1	0	1	0	0	1	0	test	2	2	3112	3847	
22261	Fri Oct 27 01:49:02 2017	13	13	6::3	3544.43		0	1	0	1	0	0	0	0	test	-43	2	2354	3193	
22261	Fri Oct 27 01:49:15 2017	13	14	6::3	3544.43		1	0	1	0	0	0	0	1	test	4	1	1917	2892	
22261	Fri Oct 27 01:49:28 2017	13	15	6::3	3544.43		1	0	1	0	0	0	0	1	test	10	1	2112	3127	
22261	Fri Oct 27 01:49:41 2017	13	16	6::3	3544.43		0	1	0	1	0	0	1	0	test	-3	2	2643	3394	
22261	Fri Oct 27 01:49:54 2017	13	17	6::3	3544.43		0	1	0	1	0	0	1	0	test	2	2	1917	2796	
22261	Fri Oct 27 01:50:07 2017	13	18	6::3	3544.43		1	0	1	0	0	0	0	1	test	7	1	1907	2714	
22261	Fri Oct 27 01:50:19 2017	13	19	6::3	3544.43		1	0	1	0	0	0	1	0	test	1	1	2301	3292	
22261	Fri Oct 27 01:50:33 2017	13	20	6::3	3544.43		0	1	0	1	0	1	0	0	test	-41	2	2308	3011	
22261	Fri Oct 27 01:50:48 2017	13	21	6::3	3544.43		1	0	1	0	0	0	0	1	test	1	1	1948	2771	
22261	Fri Oct 27 01:51:01 2017	13	22	6::3	3544.43		1	0	1	0	0	0	0	1	test	5	1	1810	2777	
22261	Fri Oct 27 01:51:16 2017	13	23	6::3	3544.43		0	1	0	1	0	1	0	0	test	-38	2	2217	3120	
22261	Fri Oct 27 01:51:30 2017	13	24	6::3	3544.43		1	0	1	0	0	0	0	1	test	5	1	2047	3398	
22261	Fri Oct 27 01:51:44 2017	13	25	6::3	3544.43		1	0	1	0	0	0	0	1	test	10	1	1940	2899	
22261	Fri Oct 27 01:51:58 2017	13	26	6::3	3544.43		0	1	0	1	0	1	0	0	test	-29	2	2167	2958	
22261	Fri Oct 27 01:52:12 2017	13	27	6::3	3544.43		1	0	1	0	0	0	1	0	test	-18	1	2657	3800	
22261	Fri Oct 27 01:52:24 2017	13	28	6::3	3544.43		0	1	0	1	0	0	1	0	test	-17	2	2244	3123	
22261	Fri Oct 27 01:52:39 2017	13	29	6::3	3544.43		1	0	1	0	0	0	1	0	test	0	1	2429	3380	
22261	Fri Oct 27 01:52:52 2017	13	30	6::3	3544.43		0	1	0	1	0	1	0	0	test	-41	2	2152	2895	
22261	Fri Oct 27 01:53:04 2017	13	31	6::3	3544.43		0	1	0	1	0	0	0	0	test	-18	1	5980	11795	
22261	Fri Oct 27 01:53:18 2017	13	32	6::3	3544.43		1	0	1	0	0	0	0	1	test	1	1	2447	3310	
22261	Fri Oct 27 01:53:32 2017	13	33	6::3	3544.43		0	1	0	1	0	1	0	0	test	-35	2	2145	3056	
22261	Fri Oct 27 01:53:44 2017	13	34	6::3	3544.43		1	0	1	0	0	0	0	0	test	-42	1	3044	3843	
22261	Fri Oct 27 01:53:57 2017	13	35	6::3	3544.43		0	1	0	1	0	1	0	0	test	-36	1	3147	3946	
22261	Fri Oct 27 01:54:12 2017	13	36	6::3	3544.43		0	1	0	1	0	1	0	0	test	-39	2	2557	3300	
22261	Fri Oct 27 01:57:16 2017	16	1	6::3	3544.43		1	0	1	0	0	0	1	0	test	3	1	2520	3447	
22261	Fri Oct 27 01:57:29 2017	16	2	6::3	3544.43		0	1	0	1	0	0	0	0	test	-43	2	2113	3000	
22261	Fri Oct 27 01:57:44 2017	16	3	6::3	3544.43		0	1	0	1	0	0	1	0	test	1	2	2382	3173	
22261	Fri Oct 27 01:57:57 2017	16	4	6::3	3544.43		1	0	1	0	0	0	0	1	test	6	1	2166	2901	
