version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Wed Nov 15 03:13:24 2017	2	1	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-50	1	2981	4724	
22261	Wed Nov 15 03:13:36 2017	2	2	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-36	1	2460	4675	
22261	Wed Nov 15 03:13:48 2017	2	3	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-32	2	2996	4043	
22261	Wed Nov 15 03:14:01 2017	2	4	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-45	1	3261	4412	
22261	Wed Nov 15 03:14:15 2017	2	5	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-44	1	2378	3345	
22261	Wed Nov 15 03:14:28 2017	2	6	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-45	2	2139	3122	
22261	Wed Nov 15 03:14:40 2017	2	7	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-43	2	2451	3354	
22261	Wed Nov 15 03:14:54 2017	2	8	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-44	1	2699	3722	
22261	Wed Nov 15 03:15:07 2017	2	9	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-37	1	2849	3888	
22261	Wed Nov 15 03:15:19 2017	2	10	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-39	2	2474	3521	
22261	Wed Nov 15 03:15:44 2017	4	1	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-37	1	3640	5007	
22261	Wed Nov 15 03:15:57 2017	4	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-12	2	2848	3999	
22261	Wed Nov 15 03:16:11 2017	4	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-19	1	3437	4364	
22261	Wed Nov 15 03:16:23 2017	4	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-27	1	2525	3540	
22261	Wed Nov 15 03:16:37 2017	4	5	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-4	2	2324	3515	
22261	Wed Nov 15 03:16:50 2017	4	6	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-24	1	2968	4015	
22261	Wed Nov 15 03:17:02 2017	4	7	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-4	2	2516	3371	
22261	Wed Nov 15 03:17:17 2017	4	8	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-3	2	2189	3060	
22261	Wed Nov 15 03:19:32 2017	7	1	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-3	2	7072	9399	
22261	Wed Nov 15 03:19:45 2017	7	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-2	2	2828	3987	
22261	Wed Nov 15 03:19:58 2017	7	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-40	1	2112	2990	
22261	Wed Nov 15 03:20:13 2017	7	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-43	1	2675	3978	
22261	Wed Nov 15 03:20:27 2017	7	5	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-3	2	3478	5069	
