version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Thu May 11 13:24:40 2017	2	1	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-50	2	4621	6716	
22261	Thu May 11 13:24:55 2017	2	2	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-50	1	5521	7320	
22261	Thu May 11 13:25:08 2017	2	3	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-50	2	3419	4938	
22261	Thu May 11 13:25:21 2017	2	4	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-50	1	2596	5171	
22261	Thu May 11 13:25:33 2017	2	5	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-50	1	2574	4557	
22261	Thu May 11 13:25:47 2017	2	6	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-50	1	2800	4559	
22261	Thu May 11 13:26:02 2017	2	7	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-50	2	2749	4357	
22261	Thu May 11 13:26:15 2017	2	8	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-49	1	2815	4454	
22261	Thu May 11 13:26:28 2017	2	9	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-50	1	3723	5506	
22261	Thu May 11 13:26:40 2017	2	10	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	-50	2	2762	4497	
22261	Thu May 11 13:27:07 2017	4	1	18::12	2263.71		1	0	0	1	0	0	0	1	acq	-25	2	5161	7744	
22261	Thu May 11 13:27:19 2017	4	2	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-25	2	4220	7026	
22261	Thu May 11 13:27:31 2017	4	3	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-31	1	3370	5049	
22261	Thu May 11 13:27:44 2017	4	4	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-27	2	2544	4159	
22261	Thu May 11 13:27:56 2017	4	5	24::12	2263.71		1	0	0	1	0	0	0	1	acq	-19	2	3825	5392	
22261	Thu May 11 13:28:09 2017	4	6	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-33	1	1990	3477	
22261	Thu May 11 13:28:22 2017	4	7	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-44	1	2288	3575	
22261	Thu May 11 13:28:37 2017	4	8	24::12	2263.71		0	1	1	0	0	1	0	0	acq	-43	1	2607	4054	
