version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Thu Nov 23 03:07:39 2017	2	1	9::3	3544.43		1	0	1	0	0	0	0	0	baseline	-44	1	3420	5355	
22261	Thu Nov 23 03:07:53 2017	2	2	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-47	2	2893	3860	
22261	Thu Nov 23 03:08:05 2017	2	3	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-39	2	2522	3473	
22261	Thu Nov 23 03:08:19 2017	2	4	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-32	1	2628	3683	
22261	Thu Nov 23 03:08:31 2017	2	5	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-29	1	2358	3253	
22261	Thu Nov 23 03:08:45 2017	2	6	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-34	2	2472	3351	
22261	Thu Nov 23 03:08:59 2017	2	7	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-27	1	1885	2924	
22261	Thu Nov 23 03:09:14 2017	2	8	6::3	3544.43		1	0	1	0	0	0	0	0	baseline	-31	1	2372	3323	
22261	Thu Nov 23 03:09:29 2017	2	9	6::3	3544.43		0	1	0	1	0	0	0	0	baseline	-34	2	2195	3122	
22261	Thu Nov 23 03:09:42 2017	2	10	9::3	3544.43		0	1	0	1	0	0	0	0	baseline	-20	2	3217	4424	
22261	Thu Nov 23 03:10:06 2017	4	1	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-19	2	3271	4582	
22261	Thu Nov 23 03:10:18 2017	4	2	6::3	3544.43		1	0	1	0	0	0	0	1	acq	-3	1	2940	4371	
22261	Thu Nov 23 03:10:32 2017	4	3	6::3	3544.43		1	0	1	0	0	0	0	1	acq	-1	1	2698	3593	
22261	Thu Nov 23 03:10:46 2017	4	4	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-30	2	2511	3454	
22261	Thu Nov 23 03:10:58 2017	4	5	6::3	3544.43		0	1	0	1	0	1	0	0	acq	-3	1	2666	3673	
22261	Thu Nov 23 03:11:12 2017	4	6	9::3	3544.43		1	0	1	0	0	0	0	1	acq	1	1	2990	4013	
