version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Mon May 22 11:36:07 2017	2	1	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	-3	1	2322	4241	
22261	Mon May 22 11:36:21 2017	2	2	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	3	2	1922	3137	
22261	Mon May 22 11:36:34 2017	2	3	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	2	2	2101	3596	
22261	Mon May 22 11:36:48 2017	2	4	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	5	1	2393	3464	
22261	Mon May 22 11:37:01 2017	2	5	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	3	2	2388	3227	
22261	Mon May 22 11:37:14 2017	2	6	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	2	1	2779	6978	
22261	Mon May 22 11:37:28 2017	2	7	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	5	1	2135	3030	
22261	Mon May 22 11:37:43 2017	2	8	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	5	1	3287	4302	
22261	Mon May 22 11:37:58 2017	2	9	24::12	2263.71		1	0	0	1	0	0	0	0	baseline	7	2	1879	2638	
22261	Mon May 22 11:38:10 2017	2	10	24::12	2263.71		0	1	1	0	0	0	0	0	baseline	4	1	2437	3428	
22261	Mon May 22 11:38:37 2017	4	1	24::12	2263.71		0	1	1	0	0	1	0	0	acq	8	1	2867	3890	
22261	Mon May 22 11:38:51 2017	4	2	24::12	2263.71		1	0	0	1	0	0	0	1	acq	14	2	3951	5190	
22261	Mon May 22 11:39:03 2017	4	3	24::12	2263.71		0	1	1	0	0	1	0	0	acq	3	1	2614	4309	
22261	Mon May 22 11:39:18 2017	4	4	24::12	2263.71		1	0	0	1	0	0	0	1	acq	8	2	2399	3430	
22261	Mon May 22 11:39:30 2017	4	5	24::12	2263.71		1	0	0	1	0	0	0	1	acq	6	2	2461	3243	
22261	Mon May 22 11:39:43 2017	4	6	24::12	2263.71		0	1	1	0	0	1	0	0	acq	4	1	2942	4045	
22261	Mon May 22 11:39:57 2017	4	7	24::12	2263.71		0	1	1	0	0	1	0	0	acq	5	1	2448	3423	
22261	Mon May 22 11:40:12 2017	4	8	24::12	2263.71		1	0	0	1	0	0	0	1	acq	11	2	2360	3207	
22261	Mon May 22 11:42:09 2017	7	1	18::12	2263.71		1	0	0	1	0	0	0	1	acq	5	2	4577	6312	
22261	Mon May 22 11:42:23 2017	7	2	24::12	2263.71		0	1	1	0	0	1	0	0	acq	10	1	2871	4237	
22261	Mon May 22 11:42:36 2017	7	3	24::12	2263.71		0	1	1	0	0	1	0	0	acq	9	1	3145	4224	
22261	Mon May 22 11:42:50 2017	7	4	24::12	2263.71		1	0	0	1	0	0	0	1	acq	5	2	2740	3755	
22261	Mon May 22 11:43:02 2017	7	5	24::12	2263.71		0	1	1	0	0	1	0	0	acq	5	1	3690	4761	
22261	Mon May 22 11:43:15 2017	7	6	24::12	2263.71		1	0	0	1	0	0	0	1	acq	4	2	2979	3826	
22261	Mon May 22 11:43:30 2017	7	7	24::12	2263.71		0	1	1	0	0	1	0	0	acq	9	1	2137	3128	
22261	Mon May 22 11:43:44 2017	7	8	24::12	2263.71		1	0	0	1	0	0	0	1	acq	3	2	3031	3862	
22261	Mon May 22 11:45:57 2017	10	1	18::12	2263.71		0	1	1	0	0	1	0	0	acq	4	1	3409	5120	
22261	Mon May 22 11:46:11 2017	10	2	24::12	2263.71		1	0	0	1	0	0	0	1	acq	0	2	3590	4581	
22261	Mon May 22 11:46:24 2017	10	3	24::12	2263.71		0	1	1	0	0	1	0	0	acq	5	1	3164	4155	
22261	Mon May 22 11:46:38 2017	10	4	24::12	2263.71		1	0	0	1	0	0	0	1	acq	4	2	3373	4212	
22261	Mon May 22 11:46:50 2017	10	5	24::12	2263.71		1	0	0	1	0	0	0	1	acq	4	2	3057	3840	
22261	Mon May 22 11:47:03 2017	10	6	24::12	2263.71		0	1	1	0	0	1	0	0	acq	8	1	1917	2956	
22261	Mon May 22 11:47:16 2017	10	7	24::12	2263.71		0	1	1	0	0	1	0	0	acq	5	1	3758	4597	
22261	Mon May 22 11:47:29 2017	10	8	24::12	2263.71		1	0	0	1	0	0	0	1	acq	7	2	3059	4154	
22261	Mon May 22 11:53:26 2017	13	1	14::14	2263.71		0	1	1	0	0	0	1	0	test	
22261	Mon May 22 11:53:26 2017	16	1	24::24	2263.71		1	0	0	1	0	0	0	1	test	
22261	Mon May 22 11:53:27 2017	19	1	25::25	2263.71		1	0	0	1	0	0	0	1	test	
