version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Tue Jun 27 11:37:06 2017	2	1	36::12	2263.71		1	0	1	0	0	0	0	0	baseline	-33	1	3562	7281	
22261	Tue Jun 27 11:37:19 2017	2	2	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-24	1	3920	5159	
22261	Tue Jun 27 11:37:32 2017	2	3	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-33	2	2262	3413	
22261	Tue Jun 27 11:37:45 2017	2	4	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-31	2	2431	3846	
22261	Tue Jun 27 11:37:59 2017	2	5	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-28	1	2446	4205	
22261	Tue Jun 27 11:38:12 2017	2	6	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-30	2	3153	4456	
22261	Tue Jun 27 11:38:24 2017	2	7	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-30	1	2735	3894	
22261	Tue Jun 27 11:38:39 2017	2	8	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-30	2	2466	3881	
22261	Tue Jun 27 11:38:52 2017	2	9	24::12	2263.71		0	1	0	1	0	0	0	0	baseline	-31	2	2707	3586	
22261	Tue Jun 27 11:39:07 2017	2	10	24::12	2263.71		1	0	1	0	0	0	0	0	baseline	-30	1	2439	3694	
22261	Tue Jun 27 11:39:34 2017	4	1	24::12	2263.71		1	0	1	0	0	0	0	1	acq	-4	1	5089	8368	
22261	Tue Jun 27 11:39:49 2017	4	2	24::12	2263.71		0	1	0	1	0	1	0	0	acq	-19	2	2518	4477	
22261	Tue Jun 27 11:40:01 2017	4	3	24::12	2263.71		1	0	1	0	0	0	0	1	acq	3	1	2951	4142	
22261	Tue Jun 27 11:40:16 2017	4	4	24::12	2263.71		1	0	1	0	0	0	0	1	acq	4	1	2459	3834	
