version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	is_CSplus	is_CSmin	do_tactor1	do_tactor2	do_tactor3	do_pulse1	do_pulse3	do_pulse5	phase	rating	button	rating_time	button_time	
22261	Wed Nov 08 04:53:11 2017	2	1	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-20	1	3630	5565	
22261	Wed Nov 08 04:53:26 2017	2	2	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-29	1	2408	3711	
22261	Wed Nov 08 04:53:41 2017	2	3	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-31	2	2677	3628	
22261	Wed Nov 08 04:53:55 2017	2	4	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-22	1	3275	4642	
22261	Wed Nov 08 04:54:10 2017	2	5	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-24	2	3668	5923	
22261	Wed Nov 08 04:54:23 2017	2	6	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-26	2	4345	5856	
22261	Wed Nov 08 04:54:37 2017	2	7	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-21	1	2815	4174	
22261	Wed Nov 08 04:54:51 2017	2	8	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-18	2	2224	3319	
22261	Wed Nov 08 04:55:06 2017	2	9	6::3	3544.43		1	0	0	1	0	0	0	0	baseline	-17	2	2215	3270	
22261	Wed Nov 08 04:55:20 2017	2	10	6::3	3544.43		0	1	1	0	0	0	0	0	baseline	-18	1	2092	3387	
22261	Wed Nov 08 04:55:44 2017	4	1	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-1	1	3752	5687	
22261	Wed Nov 08 04:55:58 2017	4	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-1	1	2966	4357	
22261	Wed Nov 08 04:56:11 2017	4	3	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-27	1	2730	4713	
22261	Wed Nov 08 04:56:23 2017	4	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-32	1	2058	3081	
22261	Wed Nov 08 04:56:35 2017	4	5	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-2	2	3682	5065	
22261	Wed Nov 08 04:56:49 2017	4	6	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-26	1	3355	4410	
22261	Wed Nov 08 04:57:04 2017	4	7	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-31	1	2295	3318	
22261	Wed Nov 08 04:57:17 2017	4	8	6::3	3544.43		1	0	0	1	0	0	0	1	acq	-12	2	2665	4064	
22261	Wed Nov 08 04:59:40 2017	7	1	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-4	2	3048	4719	
22261	Wed Nov 08 04:59:55 2017	7	2	6::3	3544.43		1	0	0	1	0	0	0	1	acq	7	2	3431	4878	
22261	Wed Nov 08 05:00:07 2017	7	3	6::3	3544.43		1	0	0	1	0	0	0	1	acq	24	2	2957	4259	
22261	Wed Nov 08 05:00:20 2017	7	4	6::3	3544.43		0	1	1	0	0	1	0	0	acq	11	2	3364	4491	
22261	Wed Nov 08 05:00:34 2017	7	5	6::3	3544.43		0	1	1	0	0	1	0	0	acq	3	1	5814	8245	
22261	Wed Nov 08 05:00:47 2017	7	6	6::3	3544.43		1	0	0	1	0	0	0	1	acq	24	1	2639	3774	
22261	Wed Nov 08 05:00:59 2017	7	7	6::3	3544.43		1	0	0	1	0	0	0	1	acq	30	1	2751	3998	
22261	Wed Nov 08 05:01:14 2017	7	8	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-3	1	4629	5556	
22261	Wed Nov 08 05:03:06 2017	10	1	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-6	1	3512	4743	
22261	Wed Nov 08 05:03:21 2017	10	2	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-9	1	2626	3673	
22261	Wed Nov 08 05:03:34 2017	10	3	6::3	3544.43		1	0	0	1	0	0	0	1	acq	4	2	2727	3806	
22261	Wed Nov 08 05:03:48 2017	10	4	6::3	3544.43		1	0	0	1	0	0	0	1	acq	17	2	2623	4094	
22261	Wed Nov 08 05:04:00 2017	10	5	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-2	1	4146	5561	
22261	Wed Nov 08 05:04:12 2017	10	6	6::3	3544.43		1	0	0	1	0	0	0	1	acq	12	2	2270	3260	
22261	Wed Nov 08 05:04:26 2017	10	7	6::3	3544.43		0	1	1	0	0	1	0	0	acq	-38	1	4980	6379	
22261	Wed Nov 08 05:04:41 2017	10	8	6::3	3544.43		1	0	0	1	0	0	0	1	acq	19	2	3939	5050	
22261	Wed Nov 08 05:06:37 2017	13	1	6::3	3544.43		0	1	1	0	0	0	1	0	test	16	1	2920	3758	
22261	Wed Nov 08 05:06:51 2017	13	2	6::3	3544.43		0	1	1	0	0	1	0	0	test	3	1	2393	3400	
22261	Wed Nov 08 05:07:05 2017	13	3	6::3	3544.43		1	0	0	1	0	0	0	1	test	7	2	2014	3189	
22261	Wed Nov 08 05:07:20 2017	13	4	6::3	3544.43		1	0	0	1	0	0	0	1	test	21	2	1976	2991	
22261	Wed Nov 08 05:07:33 2017	13	5	6::3	3544.43		0	1	1	0	0	0	0	0	test	-34	1	2141	3172	
22261	Wed Nov 08 05:07:46 2017	13	6	6::3	3544.43		0	1	1	0	0	1	0	0	test	-9	1	2858	4081	
22261	Wed Nov 08 05:07:59 2017	13	7	6::3	3544.43		1	0	0	1	0	0	0	1	test	13	2	3166	4981	
22261	Wed Nov 08 05:08:13 2017	13	8	6::3	3544.43		1	0	0	1	0	0	0	1	test	11	2	3588	5323	
22261	Wed Nov 08 05:08:26 2017	13	9	6::3	3544.43		0	1	1	0	0	0	1	0	test	18	1	2258	4449	
22261	Wed Nov 08 05:08:41 2017	13	10	6::3	3544.43		1	0	0	1	0	0	0	1	test	18	2	3098	3897	
22261	Wed Nov 08 05:08:53 2017	13	11	6::3	3544.43		1	0	0	1	0	0	1	0	test	12	2	1919	2710	
22261	Wed Nov 08 05:09:07 2017	13	12	6::3	3544.43		0	1	1	0	0	0	0	0	test	-48	1	3550	4397	
22261	Wed Nov 08 05:09:20 2017	13	13	6::3	3544.43		0	1	1	0	0	1	0	0	test	-33	1	2891	3946	
22261	Wed Nov 08 05:09:33 2017	13	14	6::3	3544.43		1	0	0	1	0	0	1	0	test	18	2	3452	4555	
22261	Wed Nov 08 05:09:45 2017	13	15	6::3	3544.43		1	0	0	1	0	0	0	1	test	26	2	1974	2965	
22261	Wed Nov 08 05:09:58 2017	13	16	6::3	3544.43		0	1	1	0	0	1	0	0	test	1	1	3495	4694	
